Date,Avg_Returns,Avg_Returns_N/O,Hours_of_Sunlight(Time),Hours_of_Sunlight(Numeric)
1,0.04200168849879432,0.08740698130823978,0 days 09:39:17.951371571,9.654986492103054
2,0.019312199560885115,0.08970933239318266,0 days 10:39:37.815261044,10.66050423917889
3,0.042535366870627644,0.07608544817999116,0 days 11:57:43.722482435,11.962145134009722
4,0.08189306671715639,0.06802499605955525,0 days 13:19:36.336645962,13.326760179433888
5,0.043694125288155757,0.039234756894715554,0 days 14:26:51.105454545,14.447529292929167
6,0.002745287998083977,0.0439149183195589,0 days 15:02:30.619447779,15.041838735494165
7,0.05460295781903799,0.07541182725110597,0 days 14:44:12.521844660,14.736811623516665
8,-0.02652283491952669,0.028507695763898756,0 days 13:44:38.703703703,13.744084362139724
9,-0.04592094656101139,0.006832008073227966,0 days 12:25:31.863636363,12.4255176767675
10,0.03494887054579436,0.0790617329148378,0 days 11:06:24.809523809,11.106891534391389
11,0.08144024941144286,0.11650033170987284,0 days 09:56:26.160353535,9.940600098204166
12,0.08413926454745585,0.08161644612185773,0 days 09:18:44.481942714,9.312356095198334
